agg_type,ATT,SE,CI_lower,CI_upper,n_total_cells,n_valid_cells,weight_sum,dataset,outcome,event_time
simple,-0.006924773132009686,0.07325020374872965,-0.1504951724795198,0.13664562621550044,2555,2555,1216644.0,All_POIs,lcus,
dynamic,-0.1426524548554018,0.12767465823198157,-0.3928947849900857,0.1075898752792821,1,1,233.0,All_POIs,lcus,-69.0
dynamic,0.09266764696535452,0.096079635507959,-0.09564843863024512,0.28098373256095416,2,2,350.0,All_POIs,lcus,-68.0
dynamic,0.030871962905824345,0.14651131286729857,-0.25629021031408084,0.3180341361257295,3,3,600.0,All_POIs,lcus,-67.0
dynamic,0.011505928696166486,0.1585395064482214,-0.29923150394234743,0.32224336133468046,4,4,915.0,All_POIs,lcus,-66.0
dynamic,0.0035736842290911425,0.15126354648411766,-0.29290286687977946,0.30005023533796177,5,5,1128.0,All_POIs,lcus,-65.0
dynamic,-0.015705715088807488,0.14950837841775902,-0.30874213678761514,0.2773307066100002,6,6,1491.0,All_POIs,lcus,-64.0
dynamic,-0.05060258107783679,0.15357136199863466,-0.3516024505951607,0.25039728843948716,7,7,1749.0,All_POIs,lcus,-63.0
dynamic,0.040628462547330386,0.13499220155765154,-0.22395625250566664,0.3052131776003274,8,8,2005.0,All_POIs,lcus,-62.0
dynamic,-0.06121332793927811,0.1775069366832422,-0.40912692383843274,0.2867002679598766,9,9,2274.0,All_POIs,lcus,-61.0
dynamic,-0.053935235933635306,0.18132608780317364,-0.4093343680278556,0.301463896160585,10,10,2528.0,All_POIs,lcus,-60.0
dynamic,-0.0026067081111197173,0.17547593991387592,-0.34653955034231654,0.34132613412007706,11,11,2896.0,All_POIs,lcus,-59.0
dynamic,0.012935926781199848,0.1847169532250873,-0.3491093015399712,0.37498115510237096,12,12,3099.0,All_POIs,lcus,-58.0
dynamic,-0.024252926007466008,0.18624158309024472,-0.3892864288643456,0.34078057684941365,13,13,3561.0,All_POIs,lcus,-57.0
dynamic,0.02152696099643306,0.1746771749045478,-0.3208403018164806,0.3638942238093468,14,14,3892.0,All_POIs,lcus,-56.0
dynamic,0.05364550114174879,0.18971220189062943,-0.31819041456388486,0.4254814168473825,15,15,4183.0,All_POIs,lcus,-55.0
dynamic,0.004882409335290715,0.19680154310183068,-0.3808486151442974,0.39061343381487884,16,16,4377.0,All_POIs,lcus,-54.0
dynamic,-0.05209954642300637,0.19130340686035568,-0.4270542238693035,0.3228551310232908,17,17,4680.0,All_POIs,lcus,-53.0
dynamic,-0.04475856548655161,0.14842532239197473,-0.33567219737482207,0.24615506640171886,18,18,5028.0,All_POIs,lcus,-52.0
dynamic,0.023773693496283745,0.1484178021917839,-0.2671251987996127,0.31467258579218016,19,19,5349.0,All_POIs,lcus,-51.0
dynamic,0.06846796195335288,0.15468435037771572,-0.2347133647869699,0.37164928869367564,20,20,5676.0,All_POIs,lcus,-50.0
dynamic,0.09006785066632546,0.15134275705522074,-0.20656395316190718,0.38669965449455806,21,21,6242.0,All_POIs,lcus,-49.0
dynamic,-0.08680780790123621,0.1295864156504585,-0.3407971825761349,0.16718156677366247,22,22,6612.0,All_POIs,lcus,-48.0
dynamic,0.03322734855354585,0.14174381086007148,-0.24459052073219423,0.31104521783928596,23,23,7027.0,All_POIs,lcus,-47.0
dynamic,0.0360127078626765,0.15688589905738154,-0.27148365428979127,0.3435090700151443,24,24,7300.0,All_POIs,lcus,-46.0
dynamic,0.01612314200981006,0.14471079760373046,-0.2675100212935016,0.29975630531312175,25,25,7664.0,All_POIs,lcus,-45.0
dynamic,-0.010499089374311842,0.12305661378929081,-0.2516900524013218,0.23069187365269814,26,26,7885.0,All_POIs,lcus,-44.0
dynamic,-0.007553245210438759,0.1192257732947536,-0.24123576086815582,0.2261292704472783,27,27,8330.0,All_POIs,lcus,-43.0
dynamic,0.004719437120737673,0.11752685029164621,-0.2256331894508889,0.23507206369236422,28,28,8650.0,All_POIs,lcus,-42.0
dynamic,-0.009367103369365104,0.12420769106490191,-0.25281417785657284,0.23407997111784262,29,29,8858.0,All_POIs,lcus,-41.0
dynamic,-0.007780797720090206,0.11859503118557553,-0.24022705884381826,0.22466546340363783,30,30,9149.0,All_POIs,lcus,-40.0
dynamic,0.012338809475649946,0.10374389189634335,-0.19099921864118302,0.2156768375924829,31,31,10057.0,All_POIs,lcus,-39.0
dynamic,0.007914387232539883,0.11044525623562708,-0.2085583149892892,0.22438708945436894,32,32,10406.0,All_POIs,lcus,-38.0
dynamic,0.0030578107872534996,0.11575862232940655,-0.22382908897838333,0.22994471055289034,33,33,10610.0,All_POIs,lcus,-37.0
dynamic,-0.006428840979238758,0.11270405677381956,-0.2273287922559251,0.21447111029744756,34,34,11068.0,All_POIs,lcus,-36.0
dynamic,-0.021043560272297642,0.10406739635380666,-0.2250156571257587,0.1829285365811634,35,35,11344.0,All_POIs,lcus,-35.0
dynamic,0.004651903550077553,0.09891351135677595,-0.1892185787092033,0.1985223858093584,36,36,11610.0,All_POIs,lcus,-34.0
dynamic,-0.04434758655873819,0.09953082549192094,-0.23942800452290322,0.15073283140542684,37,37,11937.0,All_POIs,lcus,-33.0
dynamic,0.006593690290881102,0.10194813392779255,-0.19322465220759227,0.2064120327893545,38,38,12186.0,All_POIs,lcus,-32.0
dynamic,0.011491965865820884,0.09882499797948047,-0.18220503017396084,0.2051889619056026,39,39,12723.0,All_POIs,lcus,-31.0
dynamic,0.017630900849801966,0.09745997419343698,-0.17339064856933453,0.20865245026893844,40,40,13333.0,All_POIs,lcus,-30.0
dynamic,-0.016863394549839827,0.09451388061426573,-0.20211060055380065,0.168383811454121,41,41,13781.0,All_POIs,lcus,-29.0
dynamic,0.01643851838307905,0.0898253715015354,-0.15961920975993033,0.19249624652608843,42,42,14181.0,All_POIs,lcus,-28.0
dynamic,-0.015462368009240841,0.09147393510094343,-0.19475128080708995,0.16382654478860828,43,43,14814.0,All_POIs,lcus,-27.0
dynamic,0.004428429212693461,0.09179915813482384,-0.17549792073156126,0.18435477915694817,44,44,15880.0,All_POIs,lcus,-26.0
dynamic,-0.02430880292614161,0.0765550375653625,-0.1743566765542521,0.1257390707019689,45,45,16294.0,All_POIs,lcus,-25.0
dynamic,0.010652972774117912,0.08143641087036442,-0.14896239253179633,0.17026833808003217,46,46,16671.0,All_POIs,lcus,-24.0
dynamic,-0.014475186607406315,0.08010838927650478,-0.17148762958935568,0.14253725637454304,47,47,17042.0,All_POIs,lcus,-23.0
dynamic,0.0038616447106912056,0.07678003348417235,-0.14662722091828662,0.154350510339669,48,48,17249.0,All_POIs,lcus,-22.0
dynamic,0.0011804590656000749,0.07643728535161907,-0.1486366202235733,0.15099753835477345,49,49,17602.0,All_POIs,lcus,-21.0
dynamic,-0.024080119340586858,0.07798552864272476,-0.17693175548032739,0.1287715167991537,50,50,18066.0,All_POIs,lcus,-20.0
