term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,dataset,model,outcome,pre_window,post_window,n_stacks,n_original_pois,n_stacked_rows,pct_effect,pct_ci_low95,pct_ci_hi95
port_treat,-0.0006044384523353563,0.00017053130003667373,-3.5444428806053105,0.0003934437445054268,-0.0009386798004072368,-0.00027019710426347585,8796470,Stacked_Broad_All,stacked_own_port_intensity,lcus,6,12,71,149504,8796470,-0.06042558162133106,-0.0938239378339269,-0.027016060431336728
port_treat_level2,-0.00026128829550895323,0.00025049634330197545,-1.0430822744345134,0.2969101894304198,-0.000752261128380825,0.0002296845373629186,8796470,Stacked_Broad_All,stacked_own_port_intensity_by_charger,lcus,6,12,71,149504,8796470,-0.026125416269516786,-0.07519782509152088,0.022971091687588718
port_treat_dc,-0.001046360651873263,0.0002291071311628647,-4.567123888996016,4.944617952063966e-06,-0.0014954106289524777,-0.0005973106747940481,8796470,Stacked_Broad_All,stacked_own_port_intensity_by_charger,lcus,6,12,71,149504,8796470,-0.10458134074546864,-0.14942930596223183,-0.05971323202857214
port_treat,-0.0006710106290206185,0.00021664701995795845,-3.0972529839128726,0.0019532310504872838,-0.001095638788138217,-0.0002463824699030199,8796470,Stacked_Broad_All,stacked_own_port_intensity,lspend,6,12,71,149504,8796470,-0.06707855517343879,-0.10950387951063985,-0.024635212023487535
port_treat_level2,-0.000506807372354809,0.0003169988550951534,-1.5987672012338365,0.10987233936613428,-0.0011281251283413096,0.0001145103836316917,8796470,Stacked_Broad_All,stacked_own_port_intensity_by_charger,lspend,6,12,71,149504,8796470,-0.05066789671916163,-0.11274890344090471,0.011451694019593393
port_treat_dc,-0.0008824780082815028,0.00029650698198222387,-2.97624697530532,0.002917997618257166,-0.0014636316929666614,-0.000301324323596344,8796470,Stacked_Broad_All,stacked_own_port_intensity_by_charger,lspend,6,12,71,149504,8796470,-0.08820887390795429,-0.14625611064788047,-0.030127892998186315
competitor_port_treat,-1.2075314140983677e-06,2.6255977981567555e-06,-0.45990723139168127,0.6455828094270597,-6.353703098485608e-06,3.9386402702888734e-06,8405008,Stacked_Spatial_Competition,stacked_competitor_port_intensity,lcus,6,12,71,82320,8405008,-0.00012075306850326033,-0.0006353682913756826,0.0003938648026742646
competitor_port_treat_level2,1.6987607373705554e-06,2.6208627151319433e-06,0.6481685315154075,0.5168759527956879,-3.4381301842880534e-06,6.835651659029165e-06,8405008,Stacked_Spatial_Competition,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,82320,8405008,0.00016987621802653938,-0.0003438124273925245,0.0006835675022149201
competitor_port_treat_dc,-7.93063509832856e-05,1.4101942443854834e-05,-5.623789155219869,1.8681364593134825e-08,-0.00010694615817324107,-5.1666543793330125e-05,8405008,Stacked_Spatial_Competition,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,82320,8405008,-0.007930320631776365,-0.010694043963672737,-0.005166520910044277
competitor_port_treat,-1.5784042559908243e-06,3.057495239268749e-06,-0.5162409529600204,0.6056861307433012,-7.571094924957572e-06,4.414286412975923e-06,8405008,Stacked_Spatial_Competition,stacked_competitor_port_intensity,lspend,6,12,71,82320,8405008,-0.00015784030103114822,-0.0007571066264290721,0.00044142961559525274
competitor_port_treat_level2,1.010901481175713e-06,3.0926718041857554e-06,0.3268699510266545,0.7437662493730531,-5.050735255028367e-06,7.072538217379794e-06,8405008,Stacked_Spatial_Competition,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,82320,8405008,0.00010109019921367875,-0.0005050722500086534,0.0007072563227837175
competitor_port_treat_dc,-7.115906271602262e-05,1.6992491136883203e-05,-4.187676906393535,2.8182433016959307e-05,-0.00010446434534431369,-3.785378008773154e-05,8405008,Stacked_Spatial_Competition,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,82320,8405008,-0.0071156530969971885,-0.010445888913458436,-0.0037853063642438152
