term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,distance_mid,distance_bin,outcome,period,sample
port_treat_X0_100m,0.0031444532360409027,0.0017733603015916187,1.7731609494239307,0.07620204080982232,-0.00033133295507866995,0.006620239427160475,126351,50,0-100,lcus,Period1_2019,All
port_treat_X100_200m,0.0017999202732383842,0.0006661070892743278,2.7021485016759965,0.006889298477642495,0.0004943503782607016,0.0031054901682160668,126351,150,100-200,lcus,Period1_2019,All
port_treat_X200_300m,0.001953984304493814,0.000756080320054721,2.5843607519798892,0.009755969051020176,0.00047206687718656095,0.003435901731801067,126351,250,200-300,lcus,Period1_2019,All
port_treat_X300_400m,0.0013205677445733228,0.0005886739876750583,2.2432921654799904,0.024877980257644105,0.0001667667287302086,0.002474368760416437,126351,350,300-400,lcus,Period1_2019,All
port_treat_X400_500m,0.0018536385974052257,0.0009698545827837926,1.911254151199338,0.05597192796290687,-4.727638485100779e-05,0.0037545535796614593,126351,450,400-500,lcus,Period1_2019,All
port_treat_X0_100m,0.0028750331809999255,0.0020500757807193275,1.4024033687140767,0.1607948279828596,-0.0011431153492099566,0.006893181711209808,126351,50,0-100,lspend,Period1_2019,All
port_treat_X100_200m,0.002969838364623284,0.0009498269901614418,3.1267150706240736,0.0017677115626178817,0.0011081774639068581,0.00483149926533971,126351,150,100-200,lspend,Period1_2019,All
port_treat_X200_300m,0.00199098927614478,0.00099148053243294,2.00809719506968,0.04463296428505532,4.76874325762175e-05,0.003934291119713343,126351,250,200-300,lspend,Period1_2019,All
port_treat_X300_400m,0.0014258882858077162,0.0008577182130126863,1.6624204361935664,0.09642850414059323,-0.000255239411697149,0.0031070159833125814,126351,350,300-400,lspend,Period1_2019,All
port_treat_X400_500m,0.0032639961765444014,0.0011705153364457476,2.788512097975134,0.005295076970548981,0.0009697861171107363,0.0055582062359780665,126351,450,400-500,lspend,Period1_2019,All
port_treat_X0_100m,0.002518128741656394,0.008204495531980925,0.3069206061287728,0.7589038041446117,-0.01356268250102622,0.018598939984339008,22701,50,0-100,lcus,Period1_2019,Disadvantaged
port_treat_X100_200m,0.004082393251338188,0.0018087066882752686,2.2570786506191576,0.02400316065693722,0.0005373281423186617,0.007627458360357714,22701,150,100-200,lcus,Period1_2019,Disadvantaged
port_treat_X200_300m,0.0028645615117181868,0.0028147280982412314,1.0177045212672917,0.3088183979794743,-0.0026523055608346268,0.008381428584271,22701,250,200-300,lcus,Period1_2019,Disadvantaged
port_treat_X300_400m,0.0019020539677837977,0.0016626766419765157,1.1439710643452121,0.25263563730067506,-0.001356792250490173,0.0051609001860577685,22701,350,300-400,lcus,Period1_2019,Disadvantaged
port_treat_X400_500m,-0.0016041101231861266,0.0024165858327111775,-0.6637919090117601,0.5068235048786183,-0.006340618355300034,0.0031323981089277806,22701,450,400-500,lcus,Period1_2019,Disadvantaged
port_treat_X0_100m,0.004351773140036481,0.008220715388362795,0.5293667198595429,0.5965510800204876,-0.011760829021154596,0.02046437530122756,22701,50,0-100,lspend,Period1_2019,Disadvantaged
port_treat_X100_200m,0.004361138374139578,0.0026678822026448804,1.6346817598678234,0.10211577815008502,-0.0008679107430443868,0.009590187491323544,22701,150,100-200,lspend,Period1_2019,Disadvantaged
port_treat_X200_300m,0.003448699235046158,0.0038371979961532078,0.8987545700022465,0.36878340321658787,-0.004072208837414128,0.010969607307506445,22701,250,200-300,lspend,Period1_2019,Disadvantaged
port_treat_X300_400m,0.0053496493614027755,0.0025354397653491,2.1099493013063917,0.03486272303254293,0.00038018742131853966,0.010319111301487011,22701,350,300-400,lspend,Period1_2019,Disadvantaged
