term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,outcome,period,sample
port_treat_level2,0.00011588854523031828,0.0007649973173378946,0.1514888256518304,0.8795901249502192,-0.001383506196751955,0.0016152832872125917,126351,lcus,Period1_2019,All
port_treat_dc,0.0025643522051318384,0.0004872882936803028,5.262494991956944,1.4211353628401121e-07,0.0016092671495184449,0.003519437260745232,126351,lcus,Period1_2019,All
port_treat_level2,9.228669207448283e-06,0.0010160234563054765,0.009083126132743142,0.9927528135476513,-0.0019821773051512856,0.002000634643566182,126351,lspend,Period1_2019,All
port_treat_dc,0.0034291054872805544,0.0006412557796806961,5.347484725966957,8.918493519609301e-08,0.00217224415910639,0.004685966815454719,126351,lspend,Period1_2019,All
port_treat_level2,-0.0006178647813635236,0.0011965284229882266,-0.5163811987185892,0.6055881945296887,-0.0029630604904204473,0.0017273309276934004,22701,lcus,Period1_2019,Disadvantaged
port_treat_dc,0.005074753851075967,0.0020998979287681742,2.416666915830942,0.015663342922139438,0.0009589539106903454,0.009190553791461588,22701,lcus,Period1_2019,Disadvantaged
port_treat_level2,-0.00037242377582499613,0.002066493093551757,-0.18022018896995093,0.8569797094192785,-0.00442275023918644,0.0036779026875364477,22701,lspend,Period1_2019,Disadvantaged
port_treat_dc,0.007266772799126411,0.002782428475311572,2.6116656236105724,0.009010233239337738,0.0018132129875157296,0.012720332610737094,22701,lspend,Period1_2019,Disadvantaged
port_treat_level2,0.000865745696388458,0.00035152242967199937,2.4628462462445797,0.013783901112988875,0.00017676173423133924,0.0015547296585455767,733480,lcus,Period2_2021_2023,All
port_treat_dc,0.0022322017131532657,0.0005038051999268498,4.430684148312426,9.39345916026416e-06,0.0012447435212966402,0.0032196599050098914,733480,lcus,Period2_2021_2023,All
port_treat_level2,0.0011067053592145974,0.00042322045968309446,2.6149618570975828,0.008923742040460605,0.0002771932582357323,0.0019362174601934626,733480,lspend,Period2_2021_2023,All
port_treat_dc,0.0028669955354398776,0.0005887902341761165,4.86929872308703,1.1199499411935844e-06,0.0017129666764546891,0.004021024394425066,733480,lspend,Period2_2021_2023,All
port_treat_level2,-0.000243219206307356,0.0006983356771558231,-0.34828409067962496,0.7276268406042155,-0.0016119571335327693,0.0011255187209180573,178901,lcus,Period2_2021_2023,Disadvantaged
port_treat_dc,0.0038392146607248282,0.001053232398774018,3.6451733398951127,0.0002672116335815216,0.0017748791591277531,0.005903550162321903,178901,lcus,Period2_2021_2023,Disadvantaged
port_treat_level2,4.272133581213226e-05,0.000884529046339009,0.04829839787506386,0.9614784313759851,-0.0016909555950123253,0.00177639826663659,178901,lspend,Period2_2021_2023,Disadvantaged
port_treat_dc,0.004882861949658477,0.0011362988342404504,4.297163565183437,1.7299754357429327e-05,0.002655716234547195,0.00711000766476976,178901,lspend,Period2_2021_2023,Disadvantaged
