term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,dataset,model,outcome,pre_window,post_window,n_stacks,n_original_pois,n_stacked_rows,pct_effect,pct_ci_low95,pct_ci_hi95,target,spec,max_control_pois
port_treat,-0.0006471536800126132,0.00017827105135993473,-3.630166956866093,0.0002832379523307529,-0.0009965649406780853,-0.00029774241934714114,4727170,Robust_Stacked_Broad,stacked_own_port_intensity,lcus,6,12,71,139531,4727170,-0.06469443212347062,-0.0996068534751532,-0.02976980984718458,broad,control_cap_5000,5000
port_treat_level2,-0.00024556749183608475,0.0002576752852104196,-0.9530114292317654,0.34058427988804774,-0.000750611050848507,0.0002594760671763376,4727170,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,6,12,71,139531,4727170,-0.024553734260750203,-0.07503294128449525,0.02595097340029052,broad,control_cap_5000,5000
port_treat_dc,-0.0011843307354296262,0.00023976117566873933,-4.939626827097021,7.827222065304459e-07,-0.0016542626397403554,-0.0007143988311188971,4727170,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,6,12,71,139531,4727170,-0.11836296925670328,-0.16528951014928225,-0.07141437090305357,broad,control_cap_5000,5000
port_treat,-0.0007208196577881564,0.00022624921331792843,-3.185954316558224,0.001442773774074544,-0.0011642681158912961,-0.00027737119968501673,4727170,Robust_Stacked_Broad,stacked_own_port_intensity,lspend,6,12,71,139531,4727170,-0.07205599297080799,-0.11635906187234141,-0.02773327358501449,broad,control_cap_5000,5000
port_treat_level2,-0.0005099269835261529,0.0003256020197497939,-1.566105099464684,0.11732401447138091,-0.001148106942235749,0.00012825297518344304,4727170,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,6,12,71,139531,4727170,-0.05097969928580775,-0.11474481196174058,0.012826119994787782,broad,control_cap_5000,5000
port_treat_dc,-0.0010029177704834113,0.0003101059639907524,-3.234113132094806,0.0012202111006078483,-0.001610725459905286,-0.00039511008106153666,4727170,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,6,12,71,139531,4727170,-0.10024150165439016,-0.16094289378588097,-0.0395032035352679,broad,control_cap_5000,5000
port_treat,-0.0006044384523353563,0.00017053130003667373,-3.5444428806053105,0.0003934437445054268,-0.0009386798004072368,-0.00027019710426347585,8796470,Robust_Stacked_Broad,stacked_own_port_intensity,lcus,6,12,71,149504,8796470,-0.06042558162133106,-0.0938239378339269,-0.027016060431336728,broad,control_cap_10000,10000
port_treat_level2,-0.00026128829550895323,0.00025049634330197545,-1.0430822744345134,0.2969101894304198,-0.000752261128380825,0.0002296845373629186,8796470,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,6,12,71,149504,8796470,-0.026125416269516786,-0.07519782509152088,0.022971091687588718,broad,control_cap_10000,10000
port_treat_dc,-0.001046360651873263,0.0002291071311628647,-4.567123888996016,4.944617952063966e-06,-0.0014954106289524777,-0.0005973106747940481,8796470,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,6,12,71,149504,8796470,-0.10458134074546864,-0.14942930596223183,-0.05971323202857214,broad,control_cap_10000,10000
port_treat,-0.0006710106290206185,0.00021664701995795845,-3.0972529839128726,0.0019532310504872838,-0.001095638788138217,-0.0002463824699030199,8796470,Robust_Stacked_Broad,stacked_own_port_intensity,lspend,6,12,71,149504,8796470,-0.06707855517343879,-0.10950387951063985,-0.024635212023487535,broad,control_cap_10000,10000
port_treat_level2,-0.000506807372354809,0.0003169988550951534,-1.5987672012338365,0.10987233936613428,-0.0011281251283413096,0.0001145103836316917,8796470,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,6,12,71,149504,8796470,-0.05066789671916163,-0.11274890344090471,0.011451694019593393,broad,control_cap_10000,10000
port_treat_dc,-0.0008824780082815028,0.00029650698198222387,-2.97624697530532,0.002917997618257166,-0.0014636316929666614,-0.000301324323596344,8796470,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,6,12,71,149504,8796470,-0.08820887390795429,-0.14625611064788047,-0.030127892998186315,broad,control_cap_10000,10000
port_treat,-0.0006664878147140024,0.00016742947894909712,-3.980707691962847,6.871040045229297e-05,-0.0009946495934542328,-0.0003383260359737721,16921231,Robust_Stacked_Broad,stacked_own_port_intensity,lcus,6,12,71,152932,16921231,-0.06662657610451826,-0.09941550935123307,-0.03382688101743045,broad,control_cap_20000,20000
port_treat_level2,-0.00033040915717677966,0.00024902314852678643,-1.32682105712449,0.1845678831363079,-0.000818494528289281,0.00015767621393572172,16921231,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,6,12,71,152932,16921231,-0.03303545780825162,-0.08181596530136197,0.015768864548332012,broad,control_cap_20000,20000
port_treat_dc,-0.0010874955191792594,0.00022394792743797118,-4.856019573927393,1.1976886765127114e-06,-0.0015264334569576828,-0.0006485575814008359,16921231,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,6,12,71,152932,16921231,-0.10869044102226733,-0.15252690499470511,-0.06483473133920667,broad,control_cap_20000,20000
port_treat,-0.0006995121831687367,0.00021152491740263443,-3.306996602377705,0.0009430203579271886,-0.0011141010212779002,-0.0002849233450595732,16921231,Robust_Stacked_Broad,stacked_own_port_intensity,lspend,6,12,71,152932,16921231,-0.06992675815587959,-0.11134806411451952,-0.028488275825809387,broad,control_cap_20000,20000
port_treat_level2,-0.0005334723945059651,0.00031408001097107724,-1.698523866121143,0.08940893214783657,-0.0011490692160092764,8.212442699734627e-05,16921231,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,6,12,71,152932,16921231,-0.05333301234084741,-0.11484092887692472,0.00821277993004166,broad,control_cap_20000,20000
port_treat_dc,-0.0009075111997890366,0.0002877728387281049,-3.1535679454671404,0.0016128767761470627,-0.0014715459636961224,-0.000343476435881951,16921231,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,6,12,71,152932,16921231,-0.09070995360394035,-0.14704637708317567,-0.034341745460403424,broad,control_cap_20000,20000
port_treat,-0.000711231213349005,0.00016390276106978847,-4.339348579040523,1.4290569350761733e-05,-0.0010324806250457904,-0.0003899818016522196,72522335,Robust_Stacked_Broad,stacked_own_port_intensity,lcus,6,12,71,153465,72522335,-0.07109783483816229,-0.1031947800318089,-0.03899057686335621,broad,control_cap_none,
port_treat_level2,-0.0003619585961054677,0.0002465718661449268,-1.4679638912767137,0.14211403148800852,-0.0008452394537495242,0.00012132226153858884,72522335,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,6,12,71,153465,72522335,-0.0361893096995714,-0.08448823395052063,0.012132962138179586,broad,control_cap_none,
port_treat_dc,-0.0011364907126846624,0.00021858483108305466,-5.199311896683422,2.000276370518026e-07,-0.0015649169816074494,-0.0007080644437618752,72522335,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,6,12,71,153465,72522335,-0.11358451516958357,-0.1563693137515834,-0.07078138252884487,broad,control_cap_none,
port_treat,-0.0007499155931402112,0.00020691439251366826,-3.624279510139313,0.0002897681009441104,-0.001155467802467001,-0.0003443633838134214,72522335,Robust_Stacked_Broad,stacked_own_port_intensity,lspend,6,12,71,153465,72522335,-0.07496344767173813,-0.1154800506583447,-0.03443040975489005,broad,control_cap_none,
port_treat_level2,-0.0005739724000909725,0.0003111843317415786,-1.8444771845634724,0.06511362785836289,-0.0011838936903044665,3.594889012252154e-05,72522335,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,6,12,71,153465,72522335,-0.05738077094437418,-0.1183193164646069,0.0035949536291615056,broad,control_cap_none,
port_treat_dc,-0.0009641365497618599,0.00028012999902025384,-3.4417468787130914,0.0005779707992891456,-0.0015131913478415573,-0.00041508175168216246,72522335,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,6,12,71,153465,72522335,-0.09636719194529174,-0.15120470510667336,-0.04149956171699063,broad,control_cap_none,
competitor_port_treat,-8.400448948125242e-07,2.6206764637124386e-06,-0.3205450601950766,0.7485551777007239,-5.976570763688903e-06,4.296480974063855e-06,4376199,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,71,79962,4376199,-8.400445419749104e-05,-0.0005976552904025436,0.00042964902039514536,spatial,control_cap_5000,5000
competitor_port_treat_level2,2.0127272175513136e-06,2.6197885923475232e-06,0.768278487596498,0.4423217524006856,-3.122058423449832e-06,7.147512858552459e-06,4376199,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,79962,4376199,0.00020127292430880986,-0.0003122053549830504,0.0007147538402083348,spatial,control_cap_5000,5000
competitor_port_treat_dc,-7.776223508961082e-05,1.4284918849289206e-05,-5.443659562229864,5.2196934172687975e-08,-0.00010576067603421766,-4.976379414500397e-05,4376199,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,79962,4376199,-0.007775921168537715,-0.010575508357107603,-0.0049762555947939335,spatial,control_cap_5000,5000
competitor_port_treat,-1.0670033799691895e-06,3.0635088522977146e-06,-0.34829453134072325,0.7276190004082527,-7.07148073047271e-06,4.937473970534331e-06,4376199,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,71,79962,4376199,-0.00010670028107212855,-0.0007071455727611785,0.0004937486159878997,spatial,control_cap_5000,5000
competitor_port_treat_level2,1.427636336072397e-06,3.1039571139662156e-06,0.4599407413358791,0.6455587557988276,-4.656119607301385e-06,7.511392279446179e-06,4376199,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,79962,4376199,0.00014276373551456358,-0.000465610876759331,0.0007511420490023801,spatial,control_cap_5000,5000
competitor_port_treat_dc,-6.833250624757925e-05,1.7201375589783762e-05,-3.9725024252225087,7.112151189042204e-05,-0.00010204720240355542,-3.461781009160308e-05,4376199,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,79962,4376199,-0.006833017163505116,-0.010204199576490536,-0.0034617210902129544,spatial,control_cap_5000,5000
competitor_port_treat,-1.2075314140983677e-06,2.6255977981567555e-06,-0.45990723139168127,0.6455828094270597,-6.353703098485608e-06,3.9386402702888734e-06,8405008,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,71,82320,8405008,-0.00012075306850326033,-0.0006353682913756826,0.0003938648026742646,spatial,control_cap_10000,10000
