stack_id,event_start,event_end,n_rows,n_treated_pois,n_control_pois,max_control_pois,target,spec,pre_window,post_window
1,0,12,52419,188,5000,5000,broad,control_cap_5000,6,12
2,-1,12,63784,980,5000,5000,broad,control_cap_5000,6,12
3,-2,12,60486,437,5000,5000,broad,control_cap_5000,6,12
4,-3,12,64407,520,5000,5000,broad,control_cap_5000,6,12
5,-4,12,67086,385,5000,5000,broad,control_cap_5000,6,12
6,-5,12,67265,190,5000,5000,broad,control_cap_5000,6,12
7,-6,12,76303,567,5000,5000,broad,control_cap_5000,6,12
8,-6,12,77032,633,5000,5000,broad,control_cap_5000,6,12
9,-6,12,83196,1039,5000,5000,broad,control_cap_5000,6,12
10,-6,12,75079,567,5000,5000,broad,control_cap_5000,6,12
11,-6,12,79451,846,5000,5000,broad,control_cap_5000,6,12
12,-6,12,75833,689,5000,5000,broad,control_cap_5000,6,12
13,-6,12,83174,1267,5000,5000,broad,control_cap_5000,6,12
14,-6,12,76074,753,5000,5000,broad,control_cap_5000,6,12
15,-6,12,79416,1073,5000,5000,broad,control_cap_5000,6,12
16,-6,12,81817,1311,5000,5000,broad,control_cap_5000,6,12
17,-6,12,82489,1310,5000,5000,broad,control_cap_5000,6,12
18,-6,12,72935,830,5000,5000,broad,control_cap_5000,6,12
19,-6,12,74556,732,5000,5000,broad,control_cap_5000,6,12
20,-6,12,74285,794,5000,5000,broad,control_cap_5000,6,12
21,-6,12,85912,1601,5000,5000,broad,control_cap_5000,6,12
22,-6,12,76590,848,5000,5000,broad,control_cap_5000,6,12
23,-6,12,74306,910,5000,5000,broad,control_cap_5000,6,12
24,-6,12,67406,429,5000,5000,broad,control_cap_5000,6,12
25,-6,12,71685,836,5000,5000,broad,control_cap_5000,6,12
26,-6,12,73131,1001,5000,5000,broad,control_cap_5000,6,12
27,-6,12,71366,916,5000,5000,broad,control_cap_5000,6,12
28,-6,12,86331,1976,5000,5000,broad,control_cap_5000,6,12
29,-6,12,73413,1195,5000,5000,broad,control_cap_5000,6,12
30,-6,12,68919,979,5000,5000,broad,control_cap_5000,6,12
31,-6,12,69430,925,5000,5000,broad,control_cap_5000,6,12
32,-6,12,72448,1198,5000,5000,broad,control_cap_5000,6,12
33,-6,12,69743,994,5000,5000,broad,control_cap_5000,6,12
34,-6,12,64494,506,5000,5000,broad,control_cap_5000,6,12
35,-6,12,64629,615,5000,5000,broad,control_cap_5000,6,12
36,-6,12,65667,569,5000,5000,broad,control_cap_5000,6,12
37,-6,12,65219,572,5000,5000,broad,control_cap_5000,6,12
38,-6,12,70235,863,5000,5000,broad,control_cap_5000,6,12
39,-6,12,65149,527,5000,5000,broad,control_cap_5000,6,12
40,-6,12,66462,643,5000,5000,broad,control_cap_5000,6,12
41,-6,12,82664,1753,5000,5000,broad,control_cap_5000,6,12
42,-6,12,68929,629,5000,5000,broad,control_cap_5000,6,12
43,-6,12,66109,398,5000,5000,broad,control_cap_5000,6,12
44,-6,12,67805,563,5000,5000,broad,control_cap_5000,6,12
45,-6,12,72236,939,5000,5000,broad,control_cap_5000,6,12
46,-6,12,66171,459,5000,5000,broad,control_cap_5000,6,12
47,-6,12,70001,729,5000,5000,broad,control_cap_5000,6,12
48,-6,12,68416,611,5000,5000,broad,control_cap_5000,6,12
49,-6,12,69210,684,5000,5000,broad,control_cap_5000,6,12
50,-6,12,69113,677,5000,5000,broad,control_cap_5000,6,12
51,-6,12,74118,993,5000,5000,broad,control_cap_5000,6,12
52,-6,12,68629,728,5000,5000,broad,control_cap_5000,6,12
53,-6,12,67721,576,5000,5000,broad,control_cap_5000,6,12
54,-6,12,66474,619,5000,5000,broad,control_cap_5000,6,12
55,-6,12,67289,573,5000,5000,broad,control_cap_5000,6,12
56,-6,12,63539,379,5000,5000,broad,control_cap_5000,6,12
57,-6,12,66270,616,5000,5000,broad,control_cap_5000,6,12
58,-6,12,61763,615,5000,5000,broad,control_cap_5000,6,12
59,-6,12,64272,868,5000,5000,broad,control_cap_5000,6,12
60,-6,12,58572,506,5000,5000,broad,control_cap_5000,6,12
61,-6,11,57960,645,5000,5000,broad,control_cap_5000,6,12
62,-6,10,54633,516,5000,5000,broad,control_cap_5000,6,12
63,-6,9,51435,517,5000,5000,broad,control_cap_5000,6,12
64,-6,8,49353,491,5000,5000,broad,control_cap_5000,6,12
65,-6,7,47525,585,5000,5000,broad,control_cap_5000,6,12
66,-6,6,45313,798,5000,5000,broad,control_cap_5000,6,12
67,-6,5,40109,414,5000,5000,broad,control_cap_5000,6,12
68,-6,4,38628,611,5000,5000,broad,control_cap_5000,6,12
69,-6,3,34030,431,5000,5000,broad,control_cap_5000,6,12
70,-6,2,30432,225,5000,5000,broad,control_cap_5000,6,12
71,-6,1,28829,472,5000,5000,broad,control_cap_5000,6,12
1,0,12,102838,188,10000,10000,broad,control_cap_10000,6,12
2,-1,12,116515,980,10000,10000,broad,control_cap_10000,6,12
3,-2,12,116841,437,10000,10000,broad,control_cap_10000,6,12
4,-3,12,123748,520,10000,10000,broad,control_cap_10000,6,12
5,-4,12,128902,385,10000,10000,broad,control_cap_10000,6,12
6,-5,12,132198,190,10000,10000,broad,control_cap_10000,6,12
7,-6,12,144188,567,10000,10000,broad,control_cap_10000,6,12
8,-6,12,143912,633,10000,10000,broad,control_cap_10000,6,12
9,-6,12,151044,1039,10000,10000,broad,control_cap_10000,6,12
10,-6,12,141612,567,10000,10000,broad,control_cap_10000,6,12
11,-6,12,145377,846,10000,10000,broad,control_cap_10000,6,12
12,-6,12,141942,689,10000,10000,broad,control_cap_10000,6,12
13,-6,12,149543,1267,10000,10000,broad,control_cap_10000,6,12
14,-6,12,141360,753,10000,10000,broad,control_cap_10000,6,12
15,-6,12,144313,1073,10000,10000,broad,control_cap_10000,6,12
16,-6,12,147701,1311,10000,10000,broad,control_cap_10000,6,12
17,-6,12,146666,1310,10000,10000,broad,control_cap_10000,6,12
18,-6,12,135505,830,10000,10000,broad,control_cap_10000,6,12
19,-6,12,138669,732,10000,10000,broad,control_cap_10000,6,12
20,-6,12,138519,794,10000,10000,broad,control_cap_10000,6,12
21,-6,12,150065,1601,10000,10000,broad,control_cap_10000,6,12
22,-6,12,141370,848,10000,10000,broad,control_cap_10000,6,12
23,-6,12,136416,910,10000,10000,broad,control_cap_10000,6,12
24,-6,12,128696,429,10000,10000,broad,control_cap_10000,6,12
25,-6,12,134053,836,10000,10000,broad,control_cap_10000,6,12
26,-6,12,131585,1001,10000,10000,broad,control_cap_10000,6,12
27,-6,12,131737,916,10000,10000,broad,control_cap_10000,6,12
28,-6,12,145157,1976,10000,10000,broad,control_cap_10000,6,12
29,-6,12,132096,1195,10000,10000,broad,control_cap_10000,6,12
30,-6,12,127082,979,10000,10000,broad,control_cap_10000,6,12
31,-6,12,127143,925,10000,10000,broad,control_cap_10000,6,12
32,-6,12,128781,1198,10000,10000,broad,control_cap_10000,6,12
33,-6,12,128242,994,10000,10000,broad,control_cap_10000,6,12
34,-6,12,122180,506,10000,10000,broad,control_cap_10000,6,12
35,-6,12,123494,615,10000,10000,broad,control_cap_10000,6,12
36,-6,12,122879,569,10000,10000,broad,control_cap_10000,6,12
37,-6,12,123162,572,10000,10000,broad,control_cap_10000,6,12
38,-6,12,126779,863,10000,10000,broad,control_cap_10000,6,12
39,-6,12,123847,527,10000,10000,broad,control_cap_10000,6,12
40,-6,12,125372,643,10000,10000,broad,control_cap_10000,6,12
41,-6,12,143224,1753,10000,10000,broad,control_cap_10000,6,12
42,-6,12,129072,629,10000,10000,broad,control_cap_10000,6,12
43,-6,12,127115,398,10000,10000,broad,control_cap_10000,6,12
44,-6,12,129272,563,10000,10000,broad,control_cap_10000,6,12
45,-6,12,133360,939,10000,10000,broad,control_cap_10000,6,12
46,-6,12,126265,459,10000,10000,broad,control_cap_10000,6,12
47,-6,12,131293,729,10000,10000,broad,control_cap_10000,6,12
48,-6,12,128659,611,10000,10000,broad,control_cap_10000,6,12
49,-6,12,128816,684,10000,10000,broad,control_cap_10000,6,12
50,-6,12,128199,677,10000,10000,broad,control_cap_10000,6,12
51,-6,12,134289,993,10000,10000,broad,control_cap_10000,6,12
52,-6,12,129075,728,10000,10000,broad,control_cap_10000,6,12
53,-6,12,126972,576,10000,10000,broad,control_cap_10000,6,12
54,-6,12,127449,619,10000,10000,broad,control_cap_10000,6,12
55,-6,12,126611,573,10000,10000,broad,control_cap_10000,6,12
56,-6,12,123345,379,10000,10000,broad,control_cap_10000,6,12
57,-6,12,125655,616,10000,10000,broad,control_cap_10000,6,12
58,-6,12,117288,615,10000,10000,broad,control_cap_10000,6,12
59,-6,12,117712,868,10000,10000,broad,control_cap_10000,6,12
60,-6,12,111648,506,10000,10000,broad,control_cap_10000,6,12
61,-6,11,109942,645,10000,10000,broad,control_cap_10000,6,12
62,-6,10,103210,516,10000,10000,broad,control_cap_10000,6,12
63,-6,9,97681,517,10000,10000,broad,control_cap_10000,6,12
64,-6,8,93753,491,10000,10000,broad,control_cap_10000,6,12
65,-6,7,89547,585,10000,10000,broad,control_cap_10000,6,12
66,-6,6,85531,798,10000,10000,broad,control_cap_10000,6,12
67,-6,5,76763,414,10000,10000,broad,control_cap_10000,6,12
68,-6,4,73358,611,10000,10000,broad,control_cap_10000,6,12
69,-6,3,65990,431,10000,10000,broad,control_cap_10000,6,12
70,-6,2,59244,225,10000,10000,broad,control_cap_10000,6,12
71,-6,1,54603,472,10000,10000,broad,control_cap_10000,6,12
1,0,12,202115,188,20000,20000,broad,control_cap_20000,6,12
2,-1,12,223161,980,20000,20000,broad,control_cap_20000,6,12
3,-2,12,228653,437,20000,20000,broad,control_cap_20000,6,12
4,-3,12,241877,520,20000,20000,broad,control_cap_20000,6,12
5,-4,12,251619,385,20000,20000,broad,control_cap_20000,6,12
6,-5,12,261653,190,20000,20000,broad,control_cap_20000,6,12
7,-6,12,279232,567,20000,20000,broad,control_cap_20000,6,12
8,-6,12,278965,633,20000,20000,broad,control_cap_20000,6,12
9,-6,12,287841,1039,20000,20000,broad,control_cap_20000,6,12
10,-6,12,275798,567,20000,20000,broad,control_cap_20000,6,12
11,-6,12,278056,846,20000,20000,broad,control_cap_20000,6,12
12,-6,12,273203,689,20000,20000,broad,control_cap_20000,6,12
13,-6,12,279809,1267,20000,20000,broad,control_cap_20000,6,12
14,-6,12,270367,753,20000,20000,broad,control_cap_20000,6,12
15,-6,12,273775,1073,20000,20000,broad,control_cap_20000,6,12
16,-6,12,275290,1311,20000,20000,broad,control_cap_20000,6,12
17,-6,12,276077,1310,20000,20000,broad,control_cap_20000,6,12
18,-6,12,261303,830,20000,20000,broad,control_cap_20000,6,12
19,-6,12,269568,732,20000,20000,broad,control_cap_20000,6,12
20,-6,12,266742,794,20000,20000,broad,control_cap_20000,6,12
21,-6,12,279268,1601,20000,20000,broad,control_cap_20000,6,12
22,-6,12,267363,848,20000,20000,broad,control_cap_20000,6,12
23,-6,12,261374,910,20000,20000,broad,control_cap_20000,6,12
24,-6,12,252201,429,20000,20000,broad,control_cap_20000,6,12
25,-6,12,255266,836,20000,20000,broad,control_cap_20000,6,12
26,-6,12,254846,1001,20000,20000,broad,control_cap_20000,6,12
27,-6,12,250390,916,20000,20000,broad,control_cap_20000,6,12
28,-6,12,265592,1976,20000,20000,broad,control_cap_20000,6,12
29,-6,12,248582,1195,20000,20000,broad,control_cap_20000,6,12
30,-6,12,242910,979,20000,20000,broad,control_cap_20000,6,12
31,-6,12,240928,925,20000,20000,broad,control_cap_20000,6,12
32,-6,12,245118,1198,20000,20000,broad,control_cap_20000,6,12
33,-6,12,241381,994,20000,20000,broad,control_cap_20000,6,12
34,-6,12,236416,506,20000,20000,broad,control_cap_20000,6,12
35,-6,12,237630,615,20000,20000,broad,control_cap_20000,6,12
36,-6,12,238680,569,20000,20000,broad,control_cap_20000,6,12
37,-6,12,237298,572,20000,20000,broad,control_cap_20000,6,12
38,-6,12,241138,863,20000,20000,broad,control_cap_20000,6,12
39,-6,12,239706,527,20000,20000,broad,control_cap_20000,6,12
40,-6,12,244408,643,20000,20000,broad,control_cap_20000,6,12
41,-6,12,265727,1753,20000,20000,broad,control_cap_20000,6,12
42,-6,12,253172,629,20000,20000,broad,control_cap_20000,6,12
43,-6,12,248782,398,20000,20000,broad,control_cap_20000,6,12
44,-6,12,249584,563,20000,20000,broad,control_cap_20000,6,12
45,-6,12,254074,939,20000,20000,broad,control_cap_20000,6,12
46,-6,12,246424,459,20000,20000,broad,control_cap_20000,6,12
47,-6,12,250455,729,20000,20000,broad,control_cap_20000,6,12
48,-6,12,249941,611,20000,20000,broad,control_cap_20000,6,12
49,-6,12,251024,684,20000,20000,broad,control_cap_20000,6,12
50,-6,12,249770,677,20000,20000,broad,control_cap_20000,6,12
51,-6,12,253374,993,20000,20000,broad,control_cap_20000,6,12
52,-6,12,248041,728,20000,20000,broad,control_cap_20000,6,12
53,-6,12,247323,576,20000,20000,broad,control_cap_20000,6,12
54,-6,12,246491,619,20000,20000,broad,control_cap_20000,6,12
