term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,test,outcome,target,pre_window,post_window,max_control_pois
treated_lead_m6,0.012983484318165952,0.003289030840379611,3.947510664469,7.896800151816071e-05,0.006536983871021914,0.01942998476530999,2952752,event_time_pretrend,lcus,broad,6,12,10000
treated_lead_m5,0.013422201155479456,0.003168715661698208,4.235849027957941,2.2768972659683667e-05,0.007211518458550968,0.019632883852407943,2952752,event_time_pretrend,lcus,broad,6,12,10000
treated_lead_m4,0.004966881158915307,0.0029984369571279877,1.6564901079903869,0.0976226066618373,-0.0009100552770555485,0.010843817594886163,2952752,event_time_pretrend,lcus,broad,6,12,10000
treated_lead_m3,0.0002807819705223347,0.0028045723321254838,0.10011578853077405,0.9202524008738203,-0.005216179800443614,0.005777743741488282,2952752,event_time_pretrend,lcus,broad,6,12,10000
treated_lead_m2,-0.0014385180723799876,0.0025357069626019573,-0.567304540152339,0.5705072929631807,-0.006408503719079825,0.003531467574319849,2952752,event_time_pretrend,lcus,broad,6,12,10000
placebo_treated_last3_pre_months,-0.01078221501006278,0.002062363266482645,-5.228087207183348,1.712727262721229e-07,-0.014824447012368763,-0.006739983007756796,2952752,placebo_last3_pre_months,lcus,broad,6,12,10000
treated_lead_m6,0.022752846019545008,0.00482092028039504,4.719606360651244,2.3630146737382915e-06,0.01330384226997073,0.03220184976911929,2952752,event_time_pretrend,lspend,broad,6,12,10000
treated_lead_m5,0.019284556686396632,0.004713694100689134,4.091176956853705,4.29189479439553e-05,0.01004571624904593,0.028523397123747334,2952752,event_time_pretrend,lspend,broad,6,12,10000
treated_lead_m4,0.011613569276441355,0.004594198722271576,2.5278769984723453,0.011475454742819306,0.0026089397807890664,0.020618198772093643,2952752,event_time_pretrend,lspend,broad,6,12,10000
treated_lead_m3,0.00036853720732881525,0.00438332138363371,0.08407715863702042,0.9329950850974769,-0.008222772704593255,0.008959847119250887,2952752,event_time_pretrend,lspend,broad,6,12,10000
treated_lead_m2,0.00016589516775821508,0.00411966025594366,0.040269138096732375,0.967878558044001,-0.00790863893389136,0.008240429269407788,2952752,event_time_pretrend,lspend,broad,6,12,10000
placebo_treated_last3_pre_months,-0.017628386010888876,0.0029776247537413748,-5.9202846123370225,3.2138494731065375e-09,-0.02346453052822197,-0.011792241493555781,2952752,placebo_last3_pre_months,lspend,broad,6,12,10000
treated_lead_m6,0.015249958329235026,0.004505929792834118,3.3844198712299907,0.000713288351053024,0.006418335935280154,0.024081580723189895,2811959,event_time_pretrend,lcus,spatial,6,12,10000
treated_lead_m5,0.008756610563624773,0.004375834271541281,2.0011293893313904,0.045378447908596485,0.00017997539140386307,0.017333245735845684,2811959,event_time_pretrend,lcus,spatial,6,12,10000
treated_lead_m4,0.0023710558648456885,0.004144364106567927,0.5721157224308728,0.5672435782509618,-0.0057518977840274495,0.010494009513718826,2811959,event_time_pretrend,lcus,spatial,6,12,10000
treated_lead_m3,-0.0017499106955115857,0.003830190730128175,-0.45687299114032004,0.6477623381285054,-0.00925708452656281,0.005757263135539637,2811959,event_time_pretrend,lcus,spatial,6,12,10000
treated_lead_m2,7.352118961978902e-05,0.0034069396767799592,0.021579833103847895,0.9827831206378944,-0.006604080576868931,0.006751122956108508,2811959,event_time_pretrend,lcus,spatial,6,12,10000
placebo_treated_last3_pre_months,-0.009253826561693558,0.002884331795873942,-3.208308619324318,0.0013351813829874687,-0.014907116881606484,-0.0036005362417806316,2811959,placebo_last3_pre_months,lcus,spatial,6,12,10000
treated_lead_m6,0.015494182822206552,0.006689974473574825,2.3160301856767997,0.020556620607506352,0.0023818328539998955,0.028606532790413208,2811959,event_time_pretrend,lspend,spatial,6,12,10000
treated_lead_m5,0.005958398905274564,0.006560325775794567,0.9082474116238382,0.3637475199379897,-0.006899839615282788,0.018816637425831916,2811959,event_time_pretrend,lspend,spatial,6,12,10000
treated_lead_m4,0.0002888458778210548,0.006335799185688667,0.04558949382005371,0.9636374431837293,-0.012129320526128733,0.012707012281770843,2811959,event_time_pretrend,lspend,spatial,6,12,10000
treated_lead_m3,-0.0017292013486017177,0.005979157384337364,-0.2892048557095065,0.7724246162328066,-0.01344834982190295,0.009989947124699514,2811959,event_time_pretrend,lspend,spatial,6,12,10000
treated_lead_m2,-0.002124480877093936,0.00553843488929576,-0.38358867072716896,0.7012833382861483,-0.012979813260113625,0.008730851505925754,2811959,event_time_pretrend,lspend,spatial,6,12,10000
placebo_treated_last3_pre_months,-0.008415438670109802,0.004140814735738808,-2.032314703064906,0.042121806931709825,-0.016531435552157865,-0.0002994417880617384,2811959,placebo_last3_pre_months,lspend,spatial,6,12,10000
