stack_id,event_start,event_end,n_rows,n_treated_pois,n_control_pois,max_control_pois,target,spec,pre_window,post_window,competition_radius_m
1,0,12,100747,184,10000,10000,spatial,spatial_radius_1000m,6,12,1000
2,-1,12,109346,432,10000,10000,spatial,spatial_radius_1000m,6,12,1000
3,-2,12,115596,341,10000,10000,spatial,spatial_radius_1000m,6,12,1000
4,-3,12,119686,201,10000,10000,spatial,spatial_radius_1000m,6,12,1000
5,-4,12,126930,269,10000,10000,spatial,spatial_radius_1000m,6,12,1000
6,-5,12,132446,193,10000,10000,spatial,spatial_radius_1000m,6,12,1000
7,-6,12,141395,324,10000,10000,spatial,spatial_radius_1000m,6,12,1000
8,-6,12,139886,308,10000,10000,spatial,spatial_radius_1000m,6,12,1000
9,-6,12,139298,375,10000,10000,spatial,spatial_radius_1000m,6,12,1000
10,-6,12,135699,199,10000,10000,spatial,spatial_radius_1000m,6,12,1000
11,-6,12,137717,431,10000,10000,spatial,spatial_radius_1000m,6,12,1000
12,-6,12,137816,413,10000,10000,spatial,spatial_radius_1000m,6,12,1000
14,-6,12,142417,788,10000,10000,spatial,spatial_radius_1000m,6,12,1000
15,-6,12,134378,349,10000,10000,spatial,spatial_radius_1000m,6,12,1000
16,-6,12,135676,496,10000,10000,spatial,spatial_radius_1000m,6,12,1000
17,-6,12,139928,665,10000,10000,spatial,spatial_radius_1000m,6,12,1000
18,-6,12,135256,510,10000,10000,spatial,spatial_radius_1000m,6,12,1000
19,-6,12,134504,431,10000,10000,spatial,spatial_radius_1000m,6,12,1000
20,-6,12,133990,381,10000,10000,spatial,spatial_radius_1000m,6,12,1000
21,-6,12,135426,516,10000,10000,spatial,spatial_radius_1000m,6,12,1000
22,-6,12,141883,967,10000,10000,spatial,spatial_radius_1000m,6,12,1000
23,-6,12,131694,328,10000,10000,spatial,spatial_radius_1000m,6,12,1000
24,-6,12,129307,391,10000,10000,spatial,spatial_radius_1000m,6,12,1000
25,-6,12,126354,261,10000,10000,spatial,spatial_radius_1000m,6,12,1000
26,-6,12,125538,332,10000,10000,spatial,spatial_radius_1000m,6,12,1000
27,-6,12,125194,400,10000,10000,spatial,spatial_radius_1000m,6,12,1000
28,-6,12,124730,430,10000,10000,spatial,spatial_radius_1000m,6,12,1000
29,-6,12,133541,1100,10000,10000,spatial,spatial_radius_1000m,6,12,1000
30,-6,12,123841,673,10000,10000,spatial,spatial_radius_1000m,6,12,1000
31,-6,12,121292,466,10000,10000,spatial,spatial_radius_1000m,6,12,1000
32,-6,12,118679,415,10000,10000,spatial,spatial_radius_1000m,6,12,1000
33,-6,12,122763,728,10000,10000,spatial,spatial_radius_1000m,6,12,1000
34,-6,12,118749,535,10000,10000,spatial,spatial_radius_1000m,6,12,1000
35,-6,12,117434,299,10000,10000,spatial,spatial_radius_1000m,6,12,1000
36,-6,12,117645,226,10000,10000,spatial,spatial_radius_1000m,6,12,1000
37,-6,12,120046,436,10000,10000,spatial,spatial_radius_1000m,6,12,1000
38,-6,12,119145,312,10000,10000,spatial,spatial_radius_1000m,6,12,1000
39,-6,12,122944,695,10000,10000,spatial,spatial_radius_1000m,6,12,1000
40,-6,12,119431,276,10000,10000,spatial,spatial_radius_1000m,6,12,1000
41,-6,12,122356,409,10000,10000,spatial,spatial_radius_1000m,6,12,1000
42,-6,12,130357,743,10000,10000,spatial,spatial_radius_1000m,6,12,1000
43,-6,12,125774,349,10000,10000,spatial,spatial_radius_1000m,6,12,1000
44,-6,12,123309,226,10000,10000,spatial,spatial_radius_1000m,6,12,1000
45,-6,12,126063,375,10000,10000,spatial,spatial_radius_1000m,6,12,1000
46,-6,12,125831,371,10000,10000,spatial,spatial_radius_1000m,6,12,1000
47,-6,12,124017,263,10000,10000,spatial,spatial_radius_1000m,6,12,1000
48,-6,12,126264,361,10000,10000,spatial,spatial_radius_1000m,6,12,1000
49,-6,12,126079,344,10000,10000,spatial,spatial_radius_1000m,6,12,1000
50,-6,12,124079,289,10000,10000,spatial,spatial_radius_1000m,6,12,1000
51,-6,12,123112,240,10000,10000,spatial,spatial_radius_1000m,6,12,1000
52,-6,12,129263,644,10000,10000,spatial,spatial_radius_1000m,6,12,1000
53,-6,12,122857,275,10000,10000,spatial,spatial_radius_1000m,6,12,1000
54,-6,12,123624,260,10000,10000,spatial,spatial_radius_1000m,6,12,1000
55,-6,12,123676,290,10000,10000,spatial,spatial_radius_1000m,6,12,1000
56,-6,12,123307,289,10000,10000,spatial,spatial_radius_1000m,6,12,1000
57,-6,12,121774,192,10000,10000,spatial,spatial_radius_1000m,6,12,1000
58,-6,12,118298,156,10000,10000,spatial,spatial_radius_1000m,6,12,1000
59,-6,12,114111,280,10000,10000,spatial,spatial_radius_1000m,6,12,1000
60,-6,12,114181,434,10000,10000,spatial,spatial_radius_1000m,6,12,1000
61,-6,12,110806,340,10000,10000,spatial,spatial_radius_1000m,6,12,1000
62,-6,11,105740,276,10000,10000,spatial,spatial_radius_1000m,6,12,1000
63,-6,10,101307,298,10000,10000,spatial,spatial_radius_1000m,6,12,1000
64,-6,9,94848,176,10000,10000,spatial,spatial_radius_1000m,6,12,1000
65,-6,8,91077,283,10000,10000,spatial,spatial_radius_1000m,6,12,1000
66,-6,7,85483,179,10000,10000,spatial,spatial_radius_1000m,6,12,1000
67,-6,6,81793,349,10000,10000,spatial,spatial_radius_1000m,6,12,1000
68,-6,5,76422,303,10000,10000,spatial,spatial_radius_1000m,6,12,1000
69,-6,4,71045,271,10000,10000,spatial,spatial_radius_1000m,6,12,1000
70,-6,3,64610,202,10000,10000,spatial,spatial_radius_1000m,6,12,1000
71,-6,2,58847,125,10000,10000,spatial,spatial_radius_1000m,6,12,1000
72,-6,1,52882,128,10000,10000,spatial,spatial_radius_1000m,6,12,1000
1,0,12,99950,353,10000,10000,spatial,spatial_radius_1500m,6,12,1500
2,-1,12,111660,849,10000,10000,spatial,spatial_radius_1500m,6,12,1500
3,-2,12,116736,735,10000,10000,spatial,spatial_radius_1500m,6,12,1500
4,-3,12,118780,456,10000,10000,spatial,spatial_radius_1500m,6,12,1500
5,-4,12,125245,389,10000,10000,spatial,spatial_radius_1500m,6,12,1500
6,-5,12,130448,385,10000,10000,spatial,spatial_radius_1500m,6,12,1500
7,-6,12,139976,620,10000,10000,spatial,spatial_radius_1500m,6,12,1500
8,-6,12,137827,553,10000,10000,spatial,spatial_radius_1500m,6,12,1500
9,-6,12,138786,669,10000,10000,spatial,spatial_radius_1500m,6,12,1500
10,-6,12,135545,463,10000,10000,spatial,spatial_radius_1500m,6,12,1500
11,-6,12,138543,823,10000,10000,spatial,spatial_radius_1500m,6,12,1500
12,-6,12,137204,726,10000,10000,spatial,spatial_radius_1500m,6,12,1500
14,-6,12,140298,1119,10000,10000,spatial,spatial_radius_1500m,6,12,1500
15,-6,12,131584,557,10000,10000,spatial,spatial_radius_1500m,6,12,1500
16,-6,12,136880,967,10000,10000,spatial,spatial_radius_1500m,6,12,1500
17,-6,12,137396,1014,10000,10000,spatial,spatial_radius_1500m,6,12,1500
18,-6,12,134471,862,10000,10000,spatial,spatial_radius_1500m,6,12,1500
19,-6,12,133938,722,10000,10000,spatial,spatial_radius_1500m,6,12,1500
20,-6,12,131927,635,10000,10000,spatial,spatial_radius_1500m,6,12,1500
21,-6,12,131388,687,10000,10000,spatial,spatial_radius_1500m,6,12,1500
22,-6,12,143798,1539,10000,10000,spatial,spatial_radius_1500m,6,12,1500
23,-6,12,128402,553,10000,10000,spatial,spatial_radius_1500m,6,12,1500
24,-6,12,125251,511,10000,10000,spatial,spatial_radius_1500m,6,12,1500
25,-6,12,121073,356,10000,10000,spatial,spatial_radius_1500m,6,12,1500
26,-6,12,123077,502,10000,10000,spatial,spatial_radius_1500m,6,12,1500
27,-6,12,123079,606,10000,10000,spatial,spatial_radius_1500m,6,12,1500
28,-6,12,123353,678,10000,10000,spatial,spatial_radius_1500m,6,12,1500
29,-6,12,133856,1457,10000,10000,spatial,spatial_radius_1500m,6,12,1500
30,-6,12,120375,800,10000,10000,spatial,spatial_radius_1500m,6,12,1500
31,-6,12,119099,656,10000,10000,spatial,spatial_radius_1500m,6,12,1500
