stack_id,event_start,event_end,n_rows,n_treated_pois,n_control_pois,max_control_pois,target,spec,pre_window,post_window,poi_type
1,0,12,18798,14,2587,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
2,-1,12,19779,32,2623,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
3,-2,12,20715,20,2680,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
5,-4,12,22769,19,2754,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
7,-6,12,24909,20,2808,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
8,-6,12,24398,18,2779,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
9,-6,12,23884,21,2766,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
11,-6,12,22671,16,2711,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
12,-6,12,22020,21,2677,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
13,-6,12,21364,30,2630,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
14,-6,12,20633,19,2592,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
15,-6,12,20007,32,2560,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
16,-6,12,19340,28,2525,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
17,-6,12,18760,28,2490,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
18,-6,12,18145,15,2464,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
19,-6,12,17608,17,2209,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
20,-6,12,17875,31,2217,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
21,-6,12,17683,41,2195,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
23,-6,12,16754,12,2190,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
24,-6,12,16255,10,2165,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
25,-6,12,15775,12,2133,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
26,-6,12,15334,11,2135,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
27,-6,12,15001,14,2101,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
28,-6,12,14802,42,2074,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
29,-6,12,14422,27,2084,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
30,-6,12,14194,20,2085,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
31,-6,12,13912,14,2056,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
32,-6,12,13751,21,2032,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
33,-6,12,13483,15,2016,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
36,-6,12,12582,13,1898,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
37,-6,12,12215,12,1862,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
38,-6,12,11910,25,1797,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
40,-6,12,11532,7,1696,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
41,-6,12,11643,22,1620,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
44,-6,12,11663,14,1628,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
45,-6,12,11592,18,1608,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
48,-6,12,11287,14,1573,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
50,-6,12,11087,10,1578,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
51,-6,12,11202,21,1577,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
54,-6,12,11380,15,1611,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
55,-6,12,11597,15,1675,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
59,-6,12,12191,13,2042,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
60,-6,12,12322,15,2070,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
61,-6,11,11645,13,2015,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
66,-6,6,8856,21,1856,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
69,-6,3,7124,12,1760,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
70,-6,2,6493,8,1724,10000,spatial,poi_type_Arts_Entertainment,6,12,Arts_Entertainment
2,-1,12,26019,13,2619,10000,spatial,poi_type_Clothing,6,12,Clothing
4,-3,12,29064,12,2649,10000,spatial,poi_type_Clothing,6,12,Clothing
7,-6,12,33679,26,2686,10000,spatial,poi_type_Clothing,6,12,Clothing
8,-6,12,33348,39,2669,10000,spatial,poi_type_Clothing,6,12,Clothing
11,-6,12,31755,27,2661,10000,spatial,poi_type_Clothing,6,12,Clothing
13,-6,12,30478,77,2586,10000,spatial,poi_type_Clothing,6,12,Clothing
14,-6,12,29897,45,2562,10000,spatial,poi_type_Clothing,6,12,Clothing
15,-6,12,29130,14,2570,10000,spatial,poi_type_Clothing,6,12,Clothing
16,-6,12,28582,20,2551,10000,spatial,poi_type_Clothing,6,12,Clothing
17,-6,12,27922,25,2509,10000,spatial,poi_type_Clothing,6,12,Clothing
18,-6,12,27795,49,2544,10000,spatial,poi_type_Clothing,6,12,Clothing
20,-6,12,26964,23,2405,10000,spatial,poi_type_Clothing,6,12,Clothing
21,-6,12,26779,28,2398,10000,spatial,poi_type_Clothing,6,12,Clothing
22,-6,12,26392,17,2401,10000,spatial,poi_type_Clothing,6,12,Clothing
24,-6,12,25686,25,2399,10000,spatial,poi_type_Clothing,6,12,Clothing
25,-6,12,25101,12,2398,10000,spatial,poi_type_Clothing,6,12,Clothing
