term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,dataset,model,outcome,pre_window,post_window,n_stacks,n_original_pois,n_stacked_rows,pct_effect,pct_ci_low95,pct_ci_hi95,target,spec,max_control_pois
port_treat,-0.0004342180739778144,0.00017143415009379664,-2.532856340118004,0.011313731022391265,-0.0007702290081616558,-9.820713979397295e-05,6704357,Robust_Stacked_Broad,stacked_own_port_intensity,lcus,6,6,71,144448,6704357,-0.04341238149534142,-0.07699324579412298,-0.009820231763067793,broad,window_pre6_post6,10000
port_treat_level2,-0.00030297646725806063,0.0002617316889928044,-1.1575841978629884,0.24703376097499752,-0.0008159705776839573,0.000210017643167836,6704357,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,6,6,71,144448,6704357,-0.03029305745231278,-0.08156377642202874,0.0210039698417027,broad,window_pre6_post6,10000
port_treat_dc,-0.0005832486523386129,0.00021752714674092943,-2.6812683431794864,0.007334367604102645,-0.0010096018599508347,-0.00015689544472639123,6704357,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,6,6,71,144448,6704357,-0.058307859590672056,-0.10090923834635872,-0.015688313727977247,broad,window_pre6_post6,10000
port_treat,-0.00041338757343873045,0.0002213688685003328,-1.8674151258902467,0.06184363913352424,-0.0008472705556993828,2.049540882192183e-05,6704357,Robust_Stacked_Broad,stacked_own_port_intensity,lspend,6,6,71,144448,6704357,-0.04133021405684948,-0.08469117233519542,0.0020495618854248117,broad,window_pre6_post6,10000
port_treat_level2,-0.00037942369922530617,0.0003346062454203205,-1.1339408765329158,0.25681934920887683,-0.0010352519402491342,0.000276404541798522,6704357,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,6,6,71,144448,6704357,-0.03793517271564633,-0.1034716251832677,0.027644274505365544,broad,window_pre6_post6,10000
port_treat_dc,-0.00045195503648578334,0.0002882343849020694,-1.5680122156117484,0.11687828154215557,-0.0010168944308938394,0.00011298435792227277,6704357,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,6,6,71,144448,6704357,-0.045185292019285124,-0.10163775689648992,0.01129907408952301,broad,window_pre6_post6,10000
port_treat,-0.0006044384523353563,0.00017053130003667373,-3.5444428806053105,0.0003934437445054268,-0.0009386798004072368,-0.00027019710426347585,8796470,Robust_Stacked_Broad,stacked_own_port_intensity,lcus,6,12,71,149504,8796470,-0.06042558162133106,-0.0938239378339269,-0.027016060431336728,broad,window_pre6_post12,10000
port_treat_level2,-0.00026128829550895323,0.00025049634330197545,-1.0430822744345134,0.2969101894304198,-0.000752261128380825,0.0002296845373629186,8796470,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,6,12,71,149504,8796470,-0.026125416269516786,-0.07519782509152088,0.022971091687588718,broad,window_pre6_post12,10000
port_treat_dc,-0.001046360651873263,0.0002291071311628647,-4.567123888996016,4.944617952063966e-06,-0.0014954106289524777,-0.0005973106747940481,8796470,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,6,12,71,149504,8796470,-0.10458134074546864,-0.14942930596223183,-0.05971323202857214,broad,window_pre6_post12,10000
port_treat,-0.0006710106290206185,0.00021664701995795845,-3.0972529839128726,0.0019532310504872838,-0.001095638788138217,-0.0002463824699030199,8796470,Robust_Stacked_Broad,stacked_own_port_intensity,lspend,6,12,71,149504,8796470,-0.06707855517343879,-0.10950387951063985,-0.024635212023487535,broad,window_pre6_post12,10000
port_treat_level2,-0.000506807372354809,0.0003169988550951534,-1.5987672012338365,0.10987233936613428,-0.0011281251283413096,0.0001145103836316917,8796470,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,6,12,71,149504,8796470,-0.05066789671916163,-0.11274890344090471,0.011451694019593393,broad,window_pre6_post12,10000
port_treat_dc,-0.0008824780082815028,0.00029650698198222387,-2.97624697530532,0.002917997618257166,-0.0014636316929666614,-0.000301324323596344,8796470,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,6,12,71,149504,8796470,-0.08820887390795429,-0.14625611064788047,-0.030127892998186315,broad,window_pre6_post12,10000
port_treat,-0.0009728206913191032,0.00018364318657220288,-5.297341597460355,1.1750075783418528e-07,-0.0013327613370006208,-0.0006128800456375856,10732162,Robust_Stacked_Broad,stacked_own_port_intensity,lcus,12,12,71,150347,10732162,-0.09723476546760865,-0.1331873605031998,-0.061269227302507015,broad,window_pre12_post12,10000
port_treat_level2,-0.000483817571051477,0.00026202080230870804,-1.8464853431043697,0.0648217656107099,-0.0009973783435765448,2.974320147359073e-05,10732162,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,12,12,71,150347,10732162,-0.04837005502034562,-0.09968811271144759,0.002974364380699314,broad,window_pre12_post12,10000
port_treat_dc,-0.0015964123482603099,0.0002583640284002076,-6.178926525280278,6.453892116595629e-10,-0.0021028058439247167,-0.001090018852595903,10732162,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,12,12,71,150347,10732162,-0.15951387598816932,-0.2100596496596916,-0.10894249978369548,broad,window_pre12_post12,10000
port_treat,-0.0010915034573362092,0.00022646859057785055,-4.819668169220117,1.437971964153358e-06,-0.0015353818948687964,-0.0006476250198036222,10732162,Robust_Stacked_Broad,stacked_own_port_intensity,lspend,12,12,71,150347,10732162,-0.10909079841109205,-0.15342037991066898,-0.06474153559841053,broad,window_pre12_post12,10000
port_treat_level2,-0.0006936071225621908,0.00032502827754304637,-2.133990087894215,0.03284359221202704,-0.0013306625465465617,-5.6551698577819894e-05,10732162,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,12,12,71,150347,10732162,-0.06933666327469863,-0.13297776077020182,-0.00565500995606564,broad,window_pre12_post12,10000
port_treat_dc,-0.0015989129694815808,0.00031641724643085537,-5.053178951264848,4.345164243191781e-07,-0.0022190907724860573,-0.0009787351664771043,10732162,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,12,12,71,150347,10732162,-0.1597635389143567,-0.22166304108162485,-0.09782563614345723,broad,window_pre12_post12,10000
port_treat,-0.0009274778930472125,0.00017633005659435736,-5.259896758162172,1.441363057529292e-07,-0.001273084803972153,-0.000581870982122272,13393204,Robust_Stacked_Broad,stacked_own_port_intensity,lcus,12,24,71,156751,13393204,-0.09270479183671106,-0.12722747752946323,-0.05817017280319604,broad,window_pre12_post24,10000
port_treat_level2,-0.0003315318350098432,0.0002260785222761042,-1.4664455149125197,0.1425269543493772,-0.0007746457386710074,0.000111582068651321,13393204,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,12,24,71,156751,13393204,-0.03314768844038236,-0.0774345778120174,0.011158829416189288,broad,window_pre12_post24,10000
port_treat_dc,-0.0020568972460359926,0.00027986213250867035,-7.349680457295409,1.9868125232171166e-13,-0.0026054270257529866,-0.0015083674663189986,13393204,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lcus,12,24,71,156751,13393204,-0.2054783282545916,-0.2602035846555706,-0.1507230451862663,broad,window_pre12_post24,10000
port_treat,-0.0009689129114801363,0.00020951875193204336,-4.624468705285146,3.7555977877466064e-06,-0.0013795696652669413,-0.0005582561576933313,13393204,Robust_Stacked_Broad,stacked_own_port_intensity,lspend,12,24,71,156751,13393204,-0.09684436669297236,-0.1378618496487758,-0.0558100361717233,broad,window_pre12_post24,10000
port_treat_level2,-0.00044354934344508374,0.0002710938455655264,-1.6361468572619178,0.10180885548314145,-0.0009748932807535156,8.779459386334807e-05,13393204,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,12,24,71,156751,13393204,-0.04434509899771247,-0.09744182266872997,0.008779844792149155,broad,window_pre12_post24,10000
port_treat_dc,-0.0019645664158394645,0.00032921475577541034,-5.967431232577217,2.410178124041673e-09,-0.0026098273371592687,-0.0013193054945196602,13393204,Robust_Stacked_Broad,stacked_own_port_intensity_by_charger,lspend,12,24,71,156751,13393204,-0.19626379183322126,-0.2606424698537808,-0.13184355936227915,broad,window_pre12_post24,10000
competitor_port_treat,-2.715104378204826e-06,2.9688710623140835e-06,-0.9145241814875386,0.3604414775215017,-8.53409166034043e-06,3.103882903930778e-06,6428340,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,6,71,80469,6428340,-0.00027151006923122696,-0.0008534055245083786,0.0003103887720980302,spatial,window_pre6_post6,10000
competitor_port_treat_level2,2.1690355337990906e-07,3.0366113150959527e-06,0.07142947544903527,0.9430559515008116,-5.734854624208158e-06,6.1686617309679755e-06,6428340,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,6,71,80469,6428340,2.169035769034865e-05,-0.0005734838179960813,0.0006168680757200873,spatial,window_pre6_post6,10000
competitor_port_treat_dc,-7.105994004908893e-05,1.4135620293964472e-05,-5.027012509626451,4.981798671272353e-07,-9.87657558252593e-05,-4.335412427291857e-05,6428340,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,6,71,80469,6428340,-0.007105741535135102,-0.009876087864856477,-0.004335318449645394,spatial,window_pre6_post6,10000
competitor_port_treat,-3.052080047712381e-06,3.402210892212879e-06,-0.8970872601396075,0.3696723562345564,-9.720413396449625e-06,3.6162533010248624e-06,6428340,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,6,71,80469,6428340,-0.0003052075390120811,-0.00097203661533844,0.0003616259839676713,spatial,window_pre6_post6,10000
competitor_port_treat_level2,-3.785966128058221e-07,3.4957436966497877e-06,-0.10830216562176952,0.9137560048047202,-7.230254258239406e-06,6.4730610326277615e-06,6428340,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,6,71,80469,6428340,-3.785965411381335e-05,-0.0007230228120014082,0.0006473081982932532,spatial,window_pre6_post6,10000
competitor_port_treat_dc,-6.537073343851709e-05,1.7660343701327724e-05,-3.7015549948556465,0.00021428219828926795,-9.998500709311944e-05,-3.075645978391475e-05,6428340,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,6,71,80469,6428340,-0.006536859681867967,-0.009998000875888528,-0.0030755986808854562,spatial,window_pre6_post6,10000
