stack_id,event_start,event_end,n_rows,n_treated_pois,n_control_pois,max_control_pois,target,spec,pre_window,post_window
1,0,6,60830,165,10000,10000,broad,window_pre6_post6,6,6
2,-1,6,74025,867,10000,10000,broad,window_pre6_post6,6,6
3,-2,6,78138,393,10000,10000,broad,window_pre6_post6,6,6
4,-3,6,86625,436,10000,10000,broad,window_pre6_post6,6,6
5,-4,6,93110,348,10000,10000,broad,window_pre6_post6,6,6
6,-5,6,99102,176,10000,10000,broad,window_pre6_post6,6,6
7,-6,6,106303,548,10000,10000,broad,window_pre6_post6,6,6
8,-6,6,106109,615,10000,10000,broad,window_pre6_post6,6,6
9,-6,6,109124,1004,10000,10000,broad,window_pre6_post6,6,6
10,-6,6,103255,548,10000,10000,broad,window_pre6_post6,6,6
11,-6,6,105514,829,10000,10000,broad,window_pre6_post6,6,6
12,-6,6,102915,675,10000,10000,broad,window_pre6_post6,6,6
13,-6,6,106679,1234,10000,10000,broad,window_pre6_post6,6,6
14,-6,6,102689,739,10000,10000,broad,window_pre6_post6,6,6
15,-6,6,105699,1027,10000,10000,broad,window_pre6_post6,6,6
16,-6,6,106707,1256,10000,10000,broad,window_pre6_post6,6,6
17,-6,6,107277,1256,10000,10000,broad,window_pre6_post6,6,6
18,-6,6,101615,765,10000,10000,broad,window_pre6_post6,6,6
19,-6,6,104634,679,10000,10000,broad,window_pre6_post6,6,6
20,-6,6,104775,697,10000,10000,broad,window_pre6_post6,6,6
21,-6,6,112822,1452,10000,10000,broad,window_pre6_post6,6,6
22,-6,6,105803,789,10000,10000,broad,window_pre6_post6,6,6
23,-6,6,105406,821,10000,10000,broad,window_pre6_post6,6,6
24,-6,6,97957,388,10000,10000,broad,window_pre6_post6,6,6
25,-6,6,101144,765,10000,10000,broad,window_pre6_post6,6,6
26,-6,6,102577,929,10000,10000,broad,window_pre6_post6,6,6
27,-6,6,102141,838,10000,10000,broad,window_pre6_post6,6,6
28,-6,6,111082,1826,10000,10000,broad,window_pre6_post6,6,6
29,-6,6,99508,1113,10000,10000,broad,window_pre6_post6,6,6
30,-6,6,97667,899,10000,10000,broad,window_pre6_post6,6,6
31,-6,6,96828,848,10000,10000,broad,window_pre6_post6,6,6
32,-6,6,96618,1111,10000,10000,broad,window_pre6_post6,6,6
33,-6,6,95140,939,10000,10000,broad,window_pre6_post6,6,6
34,-6,6,91649,469,10000,10000,broad,window_pre6_post6,6,6
35,-6,6,90070,589,10000,10000,broad,window_pre6_post6,6,6
36,-6,6,89964,548,10000,10000,broad,window_pre6_post6,6,6
37,-6,6,90053,545,10000,10000,broad,window_pre6_post6,6,6
38,-6,6,93537,822,10000,10000,broad,window_pre6_post6,6,6
39,-6,6,90019,503,10000,10000,broad,window_pre6_post6,6,6
40,-6,6,92287,609,10000,10000,broad,window_pre6_post6,6,6
41,-6,6,105905,1667,10000,10000,broad,window_pre6_post6,6,6
42,-6,6,96743,591,10000,10000,broad,window_pre6_post6,6,6
43,-6,6,94080,374,10000,10000,broad,window_pre6_post6,6,6
44,-6,6,96441,538,10000,10000,broad,window_pre6_post6,6,6
45,-6,6,98478,878,10000,10000,broad,window_pre6_post6,6,6
46,-6,6,93972,427,10000,10000,broad,window_pre6_post6,6,6
47,-6,6,97997,688,10000,10000,broad,window_pre6_post6,6,6
48,-6,6,96681,577,10000,10000,broad,window_pre6_post6,6,6
49,-6,6,95709,652,10000,10000,broad,window_pre6_post6,6,6
50,-6,6,95744,630,10000,10000,broad,window_pre6_post6,6,6
51,-6,6,98906,947,10000,10000,broad,window_pre6_post6,6,6
52,-6,6,94968,688,10000,10000,broad,window_pre6_post6,6,6
53,-6,6,93480,544,10000,10000,broad,window_pre6_post6,6,6
54,-6,6,93707,583,10000,10000,broad,window_pre6_post6,6,6
55,-6,6,93458,538,10000,10000,broad,window_pre6_post6,6,6
56,-6,6,91334,359,10000,10000,broad,window_pre6_post6,6,6
57,-6,6,92930,552,10000,10000,broad,window_pre6_post6,6,6
58,-6,6,94349,536,10000,10000,broad,window_pre6_post6,6,6
59,-6,6,95594,705,10000,10000,broad,window_pre6_post6,6,6
60,-6,6,92348,397,10000,10000,broad,window_pre6_post6,6,6
61,-6,6,94168,550,10000,10000,broad,window_pre6_post6,6,6
62,-6,6,92351,436,10000,10000,broad,window_pre6_post6,6,6
63,-6,6,91399,465,10000,10000,broad,window_pre6_post6,6,6
64,-6,6,85739,475,10000,10000,broad,window_pre6_post6,6,6
65,-6,6,84510,579,10000,10000,broad,window_pre6_post6,6,6
66,-6,6,85871,798,10000,10000,broad,window_pre6_post6,6,6
67,-6,5,76757,414,10000,10000,broad,window_pre6_post6,6,6
